INFO	2021-11-11 17:17:56,143	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-11 17:17:56,195	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-11 17:17:57,206	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-11 17:17:58,599	[basepage.py:153]	使用js操控浏览器==》document.querySelector("#root > div > div.sc-bBjRSN.kEYJmH").style.display="none";
INFO	2021-11-11 17:17:59,694	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-11 17:17:59,775	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-11 17:18:00,785	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-11 17:18:00,913	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-11 17:18:01,970	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-11 17:18:05,023	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:05,075	[basepage.py:82]	输入文本：
INFO	2021-11-11 17:18:05,132	[basepage.py:82]	输入文本：24
INFO	2021-11-11 17:18:05,200	[basepage.py:82]	输入文本：2022
INFO	2021-11-11 17:18:05,273	[basepage.py:82]	输入文本：568
INFO	2021-11-11 17:18:05,344	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-11 17:18:07,388	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。']
