INFO	2021-11-16 15:42:38,897	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-16 15:42:38,950	[basepage.py:90]	点击元素：('css', '#video-converter-one-year')
INFO	2021-11-16 15:42:39,957	[basepage.py:181]	切换frame==>pf_588082
INFO	2021-11-16 15:42:43,158	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-16 15:42:43,367	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-16 15:42:43,472	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-16 15:42:44,473	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-16 15:42:44,591	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-16 15:42:45,652	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-16 15:42:48,752	[basepage.py:82]	输入文本：
INFO	2021-11-16 15:42:48,826	[basepage.py:82]	输入文本：lin
INFO	2021-11-16 15:42:48,896	[basepage.py:82]	输入文本：12
INFO	2021-11-16 15:42:48,972	[basepage.py:82]	输入文本：1000
INFO	2021-11-16 15:42:49,049	[basepage.py:82]	输入文本：568
INFO	2021-11-16 15:42:49,130	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-16 15:42:51,177	[basepage.py:211]	获取到text==》['您输入的信用卡无效。', '您输入的期限年份无效。']
